county,date,new_cases,case_avg,daily_change
桃園市,2022-06-04,6926,7891.714285714285,-0.03616854226642248
桃園市,2022-06-05,5793,7379.428571428572,-0.06491437674233366
桃園市,2022-06-06,5162,7189.285714285715,-0.02576660988074954
桃園市,2022-06-07,6630,7018.428571428572,-0.02376552409339298
桃園市,2022-06-08,8039,6800,-0.031122147814936205
桃園市,2022-06-09,6298,6577.714285714285,-0.03268907563025216
桃園市,2022-06-10,6081,6418.428571428572,-0.024215967335591965
桃園市,2022-06-11,6487,6355.714285714285,-0.00977097197800983
桃園市,2022-06-12,4454,6164.428571428572,-0.030096650932793807
桃園市,2022-06-13,3971,5994.285714285715,-0.027600750851660406
桃園市,2022-06-14,4898,5746.857142857143,-0.04127740705433748
桃園市,2022-06-15,5845,5433.428571428572,-0.054539126976235475
桃園市,2022-06-16,5066,5257.428571428572,-0.03239207025293159
桃園市,2022-06-17,4305,5003.714285714285,-0.048258246834411274
桃園市,2022-06-18,4611,4735.714285714285,-0.05356021241363559
桃園市,2022-06-19,4093,4684.142857142857,-0.010889894419306158
桃園市,2022-06-20,3097,4559.285714285715,-0.026655280734392495
桃園市,2022-06-21,3853,4410,-0.03274322418925279
桃園市,2022-06-22,4680,4243.571428571428,-0.03773890508584389
桃園市,2022-06-23,4105,4106.285714285715,-0.03235145598384098
桃園市,2022-06-24,4020,4065.5714285714284,-0.009915112719176302
桃園市,2022-06-25,3272,3874.285714285714,-0.047050142309989794
桃園市,2022-06-26,3791,3831.1428571428573,-0.011135693215339167
桃園市,2022-06-27,2774,3785,-0.01204414945186074
桃園市,2022-06-28,3521,3737.5714285714284,-0.012530666163427096
桃園市,2022-06-29,4040,3646.1428571428573,-0.024462026526009928
桃園市,2022-06-30,3723,3591.5714285714284,-0.014966892606668584
桃園市,2022-07-01,3399,3502.8571428571427,-0.024700688119008808
桃園市,2022-07-02,3467,3530.714285714286,0.007952691680261087
桃園市,2022-07-03,3212,3448,-0.023427068581832914
桃園市,2022-07-04,2411,3396.1428571428573,-0.015039774610540214
桃園市,2022-07-05,0,2893.1428571428573,-0.14810919951205148
桃園市,2022-07-05,3117,2761.285714285714,-0.0455757456053724
桃園市,2022-07-06,3687,2756.1428571428573,-0.0018624864193697646
桃園市,2022-07-07,3141,2719.285714285714,-0.013372725859119982
桃園市,2022-07-08,3236,2686.285714285714,-0.012135539795114263
桃園市,2022-07-09,2822,2630.5714285714284,-0.020740268028079156
桃園市,2022-07-10,2947,2707.1428571428573,0.029108287172803428
桃園市,2022-07-11,2067,3002.4285714285716,0.10907651715039575
桃園市,2022-07-12,2858,2965.4285714285716,-0.012323357282200123
桃園市,2022-07-13,3219,2898.5714285714284,-0.022545524617015214
桃園市,2022-07-14,2813,2851.714285714286,-0.01616559881715124
桃園市,2022-07-15,2711,2776.714285714286,-0.026299969942891493
桃園市,2022-07-16,0,2373.5714285714284,-0.14518701445696358
桃園市,2022-07-16,2661,2332.714285714286,-0.01721336142040317
桃園市,2022-07-17,2607,2409.8571428571427,0.03306999816277777
桃園市,2022-07-18,1903,2273.4285714285716,-0.05661272156025833
桃園市,2022-07-19,2487,2168.8571428571427,-0.04599723513887157
桃園市,2022-07-20,3004,2196.1428571428573,0.012580687656435434
桃園市,2022-07-21,2520,2168.8571428571427,-0.012424380407207619
桃園市,2022-07-22,2562,2534.8571428571427,0.16875247003029906
桃園市,2022-07-23,2303,2483.714285714286,-0.020175834084760945
桃園市,2022-07-24,2270,2435.5714285714284,-0.019383411940641974
桃園市,2022-07-25,1847,2427.5714285714284,-0.003284650126107103
桃園市,2022-07-26,2211,2388.1428571428573,-0.016241981992585048
桃園市,2022-07-27,2680,2341.8571428571427,-0.019381467966740607
桃園市,2022-07-28,2385,2322.5714285714284,-0.00823522235100345
桃園市,2022-07-29,2392,2298.285714285714,-0.010456390699963068
桃園市,2022-07-30,2164,2278.4285714285716,-0.008639980109398225
桃園市,2022-07-31,2258,2276.714285714286,-7.523982694840086e-4
桃園市,2022-08-01,1840,2275.714285714286,-4.392294660224634e-4
桃園市,2022-08-02,2027,2249.4285714285716,-0.01155053358443186
桃園市,2022-08-03,2562,2232.5714285714284,-0.007493966721707215
桃園市,2022-08-04,2352,2227.8571428571427,-0.0021115945738418517
桃園市,2022-08-05,2280,2211.8571428571427,-0.007181789034947099
桃園市,2022-08-06,2162,2211.5714285714284,-1.291739327003517e-4
桃園市,2022-08-08,1693,2130.8571428571427,-0.036496350364963535
桃園市,2022-08-09,2151,2175.285714285714,0.02085009385894348
桃園市,2022-08-10,2675,2267.8571428571427,0.04255598607736252
桃園市,2022-08-11,2604,2273.8571428571427,0.002645669291338583
桃園市,2022-08-12,2429,2284.8571428571427,0.0048375950241879755
桃園市,2022-08-13,2327,2291.5714285714284,0.0029386019757409315
桃園市,2022-08-14,2324,2314.714285714286,0.010099121002431356
桃園市,2022-08-15,1973,2354.714285714286,0.017280750478306486
桃園市,2022-08-16,2218,2364.285714285714,0.004064794030212891
桃園市,2022-08-17,2793,2381.1428571428573,0.0071299093655590225
桃園市,2022-08-18,2582,2378,-0.001319894408447406
桃園市,2022-08-19,2632,2407,0.012195121951219513
桃園市,2022-08-20,2465,2426.714285714286,0.008190397056205143
桃園市,2022-08-21,2438,2443,0.0067110143050567814
桃園市,2022-08-22,2087,2459.285714285714,0.0066662768259165865
桃園市,2022-08-23,2673,2524.285714285714,0.02643043857101365
桃園市,2022-08-24,3301,2596.8571428571427,0.02874929258630442
桃園市,2022-08-25,2935,2647.285714285714,0.01941907800638139
桃園市,2022-08-26,2954,2693.285714285714,0.017376288381630783
桃園市,2022-08-27,2976,2766.285714285714,0.02710443961173288
桃園市,2022-08-28,2928,2836.285714285714,0.02530468911381946
桃園市,2022-08-29,2471,2891.1428571428573,0.019341190692052073
桃園市,2022-08-30,3138,2957.5714285714284,0.022976578713311477
桃園市,2022-08-31,3780,3026,0.023136743467130412
桃園市,2022-09-01,0,2606.714285714286,-0.13856104239448586
桃園市,2022-09-01,3536,2689.8571428571427,0.03189565408012266
桃園市,2022-09-02,3779,2804.5714285714284,0.04264698072122792
桃園市,2022-09-03,3667,2910.1428571428573,0.03764262428687868
桃園市,2022-09-04,3918,3116.8571428571427,0.07103234990918449
桃園市,2022-09-05,2884,3080.5714285714284,-0.01164176368136399
桃園市,2022-09-06,3588,3053.1428571428573,-0.008903728436282588
桃園市,2022-09-07,4638,3715.714285714286,0.217012914093206
桃園市,2022-09-08,4010,3783.4285714285716,0.01822376009227222
桃園市,2022-09-09,3843,3792.5714285714284,0.0024165533907264075
桃園市,2022-09-10,3783,3809.1428571428573,0.004369444025915409
桃園市,2022-09-11,3404,3735.714285714286,-0.01927692769276931
桃園市,2022-09-12,2699,3709.285714285714,-0.007074569789674987
桃園市,2022-09-13,4519,3842.285714285714,0.03585595994608126
桃園市,2022-09-14,5453,3958.714285714286,0.03030190362879242
桃園市,2022-09-15,4758,4065.5714285714284,0.02699289090974698
桃園市,2022-09-16,4455,4153,0.02150462068238522
桃園市,2022-09-17,4360,4235.428571428572,0.019847958446561897
桃園市,2022-09-18,4097,4334.428571428572,0.02337425796006476
