county,date,new_cases
花蓮縣,2021-05-29,4
花蓮縣,2021-05-30,6
花蓮縣,2021-05-31,1
花蓮縣,2021-06-01,3
花蓮縣,2021-06-02,1
花蓮縣,2021-06-03,1
花蓮縣,2021-06-04,1
花蓮縣,2021-06-05,0
花蓮縣,2021-06-06,0
台南市,2021-05-15,0
台南市,2021-05-16,0
台南市,2021-05-17,0
台南市,2021-05-18,0
台南市,2021-05-19,2
台南市,2021-05-20,0
台南市,2021-05-21,0
台南市,2021-05-22,1
台南市,2021-05-23,2
台南市,2021-05-24,3
台南市,2021-05-25,10
台南市,2021-05-26,2
台南市,2021-05-27,1
台南市,2021-05-28,6
台南市,2021-05-29,0
台南市,2021-05-30,0
台南市,2021-05-31,0
台南市,2021-06-01,1
台南市,2021-06-02,2
台南市,2021-06-03,2
台南市,2021-06-04,0
台南市,2021-06-05,1
台南市,2021-06-06,2
新竹縣,2021-05-15,0
新竹縣,2021-05-16,1
新竹縣,2021-05-17,1
新竹縣,2021-05-18,0
新竹縣,2021-05-19,0
新竹縣,2021-05-20,0
新竹縣,2021-05-21,0
新竹縣,2021-05-22,2
新竹縣,2021-05-23,1
新竹縣,2021-05-24,1
新竹縣,2021-05-25,1
新竹縣,2021-05-26,4
新竹縣,2021-05-27,5
新竹縣,2021-05-28,1
新竹縣,2021-05-29,2
新竹縣,2021-05-30,0
新竹縣,2021-05-31,1
新竹縣,2021-06-01,1
新竹縣,2021-06-02,2
新竹縣,2021-06-03,0
新竹縣,2021-06-04,1
新竹縣,2021-06-05,7
新竹縣,2021-06-06,3
屏東縣,2021-05-15,0
屏東縣,2021-05-16,0
屏東縣,2021-05-17,0
屏東縣,2021-05-18,0
屏東縣,2021-05-19,0
屏東縣,2021-05-20,0
屏東縣,2021-05-21,1
屏東縣,2021-05-22,5
屏東縣,2021-05-23,8
屏東縣,2021-05-24,3
屏東縣,2021-05-25,4
屏東縣,2021-05-26,2
屏東縣,2021-05-27,3
屏東縣,2021-05-28,1
屏東縣,2021-05-29,0
屏東縣,2021-05-30,0
屏東縣,2021-05-31,0
屏東縣,2021-06-01,0
屏東縣,2021-06-02,0
屏東縣,2021-06-03,0
屏東縣,2021-06-04,1
屏東縣,2021-06-05,4
屏東縣,2021-06-06,0
南投縣,2021-05-15,0
南投縣,2021-05-16,0
南投縣,2021-05-17,0
南投縣,2021-05-18,0
南投縣,2021-05-19,0
南投縣,2021-05-20,0
南投縣,2021-05-21,1
南投縣,2021-05-22,1
南投縣,2021-05-23,8
南投縣,2021-05-24,1
南投縣,2021-05-25,2
南投縣,2021-05-26,0
南投縣,2021-05-27,1
南投縣,2021-05-28,1
南投縣,2021-05-29,0
南投縣,2021-05-30,4
南投縣,2021-05-31,0
南投縣,2021-06-01,0
南投縣,2021-06-02,1
南投縣,2021-06-03,0
南投縣,2021-06-04,2
南投縣,2021-06-05,3
南投縣,2021-06-06,0
新竹市,2021-05-15,0
新竹市,2021-05-16,0
新竹市,2021-05-17,0
新竹市,2021-05-18,1
新竹市,2021-05-19,2
新竹市,2021-05-20,1
新竹市,2021-05-21,0
新竹市,2021-05-22,3
新竹市,2021-05-23,2
新竹市,2021-05-24,0
新竹市,2021-05-25,4
新竹市,2021-05-26,0
新竹市,2021-05-27,0
新竹市,2021-05-28,1
新竹市,2021-05-29,1
新竹市,2021-05-30,1
新竹市,2021-05-31,2
新竹市,2021-06-01,0
新竹市,2021-06-02,1
新竹市,2021-06-03,1
新竹市,2021-06-04,2
新竹市,2021-06-05,1
新竹市,2021-06-06,0
台東縣,2021-05-15,0
台東縣,2021-05-16,0
台東縣,2021-05-17,0
台東縣,2021-05-18,0
台東縣,2021-05-19,0
台東縣,2021-05-20,0
台東縣,2021-05-21,0
台東縣,2021-05-22,0
台東縣,2021-05-23,0
台東縣,2021-05-24,0
台東縣,2021-05-25,2
台東縣,2021-05-26,1
台東縣,2021-05-27,4
台東縣,2021-05-28,1
台東縣,2021-05-29,5
台東縣,2021-05-30,1
台東縣,2021-05-31,0
台東縣,2021-06-01,3
台東縣,2021-06-02,4
台東縣,2021-06-03,0
台東縣,2021-06-04,0
台東縣,2021-06-05,0
台東縣,2021-06-06,0
雲林縣,2021-05-15,0
雲林縣,2021-05-16,0
雲林縣,2021-05-17,0
雲林縣,2021-05-18,1
雲林縣,2021-05-19,0
雲林縣,2021-05-20,1
雲林縣,2021-05-21,1
雲林縣,2021-05-22,1
雲林縣,2021-05-23,2
雲林縣,2021-05-24,0
雲林縣,2021-05-25,1
雲林縣,2021-05-26,2
雲林縣,2021-05-27,1
雲林縣,2021-05-28,0
雲林縣,2021-05-29,1
雲林縣,2021-05-30,0
雲林縣,2021-05-31,0
雲林縣,2021-06-01,0
雲林縣,2021-06-02,0
雲林縣,2021-06-03,0
雲林縣,2021-06-04,1
雲林縣,2021-06-05,1
雲林縣,2021-06-06,3
嘉義縣,2021-05-15,0
嘉義縣,2021-05-16,0
嘉義縣,2021-05-17,0
嘉義縣,2021-05-18,0
嘉義縣,2021-05-19,0
嘉義縣,2021-05-20,0
嘉義縣,2021-05-21,0
嘉義縣,2021-05-22,0
嘉義縣,2021-05-23,1
嘉義縣,2021-05-24,0
嘉義縣,2021-05-25,0
嘉義縣,2021-05-26,1
嘉義縣,2021-05-27,0
嘉義縣,2021-05-28,0
嘉義縣,2021-05-29,4
嘉義縣,2021-05-30,3
嘉義縣,2021-05-31,0
嘉義縣,2021-06-01,0
嘉義縣,2021-06-02,0
嘉義縣,2021-06-03,0
嘉義縣,2021-06-04,1
嘉義縣,2021-06-05,3
嘉義縣,2021-06-06,0
嘉義市,2021-05-15,0
嘉義市,2021-05-16,0
嘉義市,2021-05-17,0
嘉義市,2021-05-18,0
嘉義市,2021-05-19,0
嘉義市,2021-05-20,0
嘉義市,2021-05-21,0
嘉義市,2021-05-22,0
嘉義市,2021-05-23,1
嘉義市,2021-05-24,0
嘉義市,2021-05-25,0
嘉義市,2021-05-26,0
嘉義市,2021-05-27,3
嘉義市,2021-05-28,2
嘉義市,2021-05-29,0
嘉義市,2021-05-30,0
嘉義市,2021-05-31,0
嘉義市,2021-06-01,4
嘉義市,2021-06-02,0
嘉義市,2021-06-03,0
嘉義市,2021-06-04,0
嘉義市,2021-06-05,0
嘉義市,2021-06-06,1
連江縣,2021-05-15,0
連江縣,2021-05-16,0
連江縣,2021-05-17,0
連江縣,2021-05-18,0
連江縣,2021-05-19,0
連江縣,2021-05-20,0
連江縣,2021-05-21,0
連江縣,2021-05-22,0
連江縣,2021-05-23,0
連江縣,2021-05-24,0
連江縣,2021-05-25,0
連江縣,2021-05-26,1
連江縣,2021-05-27,2
連江縣,2021-05-28,0
連江縣,2021-05-29,0
連江縣,2021-05-30,1
連江縣,2021-05-31,0
連江縣,2021-06-01,0
連江縣,2021-06-02,0
連江縣,2021-06-03,0
連江縣,2021-06-04,0
連江縣,2021-06-05,0
連江縣,2021-06-06,0
澎湖縣,2021-05-15,0
澎湖縣,2021-05-16,0
澎湖縣,2021-05-17,0
澎湖縣,2021-05-18,0
澎湖縣,2021-05-19,0
澎湖縣,2021-05-20,0
澎湖縣,2021-05-21,0
澎湖縣,2021-05-22,0
澎湖縣,2021-05-23,0
澎湖縣,2021-05-24,0
澎湖縣,2021-05-25,0
澎湖縣,2021-05-26,0
澎湖縣,2021-05-27,0
澎湖縣,2021-05-28,0
澎湖縣,2021-05-29,0
澎湖縣,2021-05-30,0
澎湖縣,2021-05-31,1
澎湖縣,2021-06-01,1
澎湖縣,2021-06-02,0
澎湖縣,2021-06-03,0
澎湖縣,2021-06-04,0
澎湖縣,2021-06-05,0
澎湖縣,2021-06-06,0
金門縣,2021-05-15,0
金門縣,2021-05-16,0
金門縣,2021-05-17,0
金門縣,2021-05-18,0
金門縣,2021-05-19,0
金門縣,2021-05-20,0
金門縣,2021-05-21,0
金門縣,2021-05-22,0
金門縣,2021-05-23,0
金門縣,2021-05-24,0
金門縣,2021-05-25,0
金門縣,2021-05-26,0
金門縣,2021-05-27,0
金門縣,2021-05-28,0
金門縣,2021-05-29,0
金門縣,2021-05-30,0
金門縣,2021-05-31,0
金門縣,2021-06-01,0
金門縣,2021-06-02,0
金門縣,2021-06-03,0
金門縣,2021-06-04,0
金門縣,2021-06-05,0
金門縣,2021-06-06,0
新北市,2021-06-07,82
台北市,2021-06-07,60
苗栗縣,2021-06-07,45
彰化縣,2021-06-07,8
新竹市,2021-06-07,3
桃園市,2021-06-07,3
基隆市,2021-06-07,3
澎湖縣,2021-06-07,3
宜蘭縣,2021-06-07,1
嘉義縣,2021-06-07,1
新竹縣,2021-06-07,1
屏東縣,2021-06-07,1
台中市,2021-06-07,0
高雄市,2021-06-07,0
雲林縣,2021-06-07,0
台南市,2021-06-07,0
嘉義市,2021-06-07,0
花蓮縣,2021-06-07,0
台東縣,2021-06-07,0
南投縣,2021-06-07,0
金門縣,2021-06-07,0
連江縣,2021-06-07,0
新北市,2021-06-08,123
台北市,2021-06-08,54
苗栗縣,2021-06-08,16
桃園市,2021-06-08,13
基隆市,2021-06-08,8
彰化縣,2021-06-08,2
台南市,2021-06-08,1
台中市,2021-06-08,1
新竹市,2021-06-08,1
宜蘭縣,2021-06-08,0
新竹縣,2021-06-08,0
高雄市,2021-06-08,0
雲林縣,2021-06-08,0
屏東縣,2021-06-08,0
嘉義市,2021-06-08,0
嘉義縣,2021-06-08,0
花蓮縣,2021-06-08,0
台東縣,2021-06-08,0
南投縣,2021-06-08,0
澎湖縣,2021-06-08,0
金門縣,2021-06-08,0
連江縣,2021-06-08,0
新北市,2021-06-09,162
台北市,2021-06-09,63
桃園市,2021-06-09,15
苗栗縣,2021-06-09,12
基隆市,2021-06-09,10
彰化縣,2021-06-09,3
南投縣,2021-06-09,3
宜蘭縣,2021-06-09,2
台南市,2021-06-09,1
嘉義市,2021-06-09,1
台中市,2021-06-09,1
新竹縣,2021-06-09,1
高雄市,2021-06-09,0
新竹市,2021-06-09,0
雲林縣,2021-06-09,0
屏東縣,2021-06-09,0
嘉義縣,2021-06-09,0
花蓮縣,2021-06-09,0
台東縣,2021-06-09,0
澎湖縣,2021-06-09,0
金門縣,2021-06-09,0
連江縣,2021-06-09,0
新北市,2021-06-10,112
台北市,2021-06-10,58
苗栗縣,2021-06-10,43
桃園市,2021-06-10,14
基隆市,2021-06-10,12
彰化縣,2021-06-10,10
花蓮縣,2021-06-10,7
新竹縣,2021-06-10,2
南投縣,2021-06-10,2
宜蘭縣,2021-06-10,1
台南市,2021-06-10,1
台東縣,2021-06-10,1
台中市,2021-06-10,0
高雄市,2021-06-10,0
新竹市,2021-06-10,0
雲林縣,2021-06-10,0
屏東縣,2021-06-10,0
嘉義市,2021-06-10,0
嘉義縣,2021-06-10,0
澎湖縣,2021-06-10,0
金門縣,2021-06-10,0
連江縣,2021-06-10,0
新北市,2021-06-11,120
苗栗縣,2021-06-11,56
台北市,2021-06-11,49
桃園市,2021-06-11,19
新竹縣,2021-06-11,12
基隆市,2021-06-11,8
彰化縣,2021-06-11,7
台中市,2021-06-11,4
宜蘭縣,2021-06-11,3
新竹市,2021-06-11,3
雲林縣,2021-06-11,2
花蓮縣,2021-06-11,2
台南市,2021-06-11,1
高雄市,2021-06-11,0
屏東縣,2021-06-11,0
嘉義市,2021-06-11,0
嘉義縣,2021-06-11,0
台東縣,2021-06-11,0
南投縣,2021-06-11,0
澎湖縣,2021-06-11,0
金門縣,2021-06-11,0
連江縣,2021-06-11,0
新北市,2021-06-12,133
台北市,2021-06-12,65
基隆市,2021-06-12,16
桃園市,2021-06-12,13
苗栗縣,2021-06-12,9
花蓮縣,2021-06-12,3
宜蘭縣,2021-06-12,2
新竹市,2021-06-12,2
彰化縣,2021-06-12,2
台中市,2021-06-12,2
高雄市,2021-06-12,1
雲林縣,2021-06-12,1
新竹縣,2021-06-12,1
台南市,2021-06-12,0
屏東縣,2021-06-12,0
嘉義市,2021-06-12,0
嘉義縣,2021-06-12,0
台東縣,2021-06-12,0
南投縣,2021-06-12,0
澎湖縣,2021-06-12,0
金門縣,2021-06-12,0
連江縣,2021-06-12,0
新北市,2021-06-13,81
台北市,2021-06-13,62
桃園市,2021-06-13,16
基隆市,2021-06-13,7
彰化縣,2021-06-13,4
新竹縣,2021-06-13,2
台中市,2021-06-13,1
花蓮縣,2021-06-13,1
宜蘭縣,2021-06-13,0
苗栗縣,2021-06-13,0
高雄市,2021-06-13,0
新竹市,2021-06-13,0
雲林縣,2021-06-13,0
台南市,2021-06-13,0
屏東縣,2021-06-13,0
嘉義市,2021-06-13,0
嘉義縣,2021-06-13,0
台東縣,2021-06-13,0
南投縣,2021-06-13,0
澎湖縣,2021-06-13,0
金門縣,2021-06-13,0
連江縣,2021-06-13,0
新北市,2021-06-14,98
台北市,2021-06-14,42
基隆市,2021-06-14,14
桃園市,2021-06-14,10
苗栗縣,2021-06-14,7
花蓮縣,2021-06-14,4
彰化縣,2021-06-14,3
新竹縣,2021-06-14,3
宜蘭縣,2021-06-14,2
台中市,2021-06-14,1
雲林縣,2021-06-14,1
高雄市,2021-06-14,0
新竹市,2021-06-14,0
台南市,2021-06-14,0
屏東縣,2021-06-14,0
嘉義市,2021-06-14,0
嘉義縣,2021-06-14,0
台東縣,2021-06-14,0
南投縣,2021-06-14,0
澎湖縣,2021-06-14,0
金門縣,2021-06-14,0
連江縣,2021-06-14,0
新北市,2021-06-15,65
台北市,2021-06-15,26
苗栗縣,2021-06-15,18
桃園市,2021-06-15,12
基隆市,2021-06-15,3
台南市,2021-06-15,2
台中市,2021-06-15,2
花蓮縣,2021-06-15,2
彰化縣,2021-06-15,1
嘉義縣,2021-06-15,1
宜蘭縣,2021-06-15,0
新竹縣,2021-06-15,0
高雄市,2021-06-15,0
新竹市,2021-06-15,0
雲林縣,2021-06-15,0
屏東縣,2021-06-15,0
嘉義市,2021-06-15,0
台東縣,2021-06-15,0
南投縣,2021-06-15,0
澎湖縣,2021-06-15,0
金門縣,2021-06-15,0
連江縣,2021-06-15,0
新北市,2021-06-16,65
台北市,2021-06-16,50
苗栗縣,2021-06-16,21
桃園市,2021-06-16,14
花蓮縣,2021-06-16,8
新竹縣,2021-06-16,5
基隆市,2021-06-16,2
台中市,2021-06-16,1
高雄市,2021-06-16,1
宜蘭縣,2021-06-16,0
彰化縣,2021-06-16,0
新竹市,2021-06-16,0
雲林縣,2021-06-16,0
台南市,2021-06-16,0
屏東縣,2021-06-16,0
嘉義市,2021-06-16,0
嘉義縣,2021-06-16,0
台東縣,2021-06-16,0
南投縣,2021-06-16,0
澎湖縣,2021-06-16,0
金門縣,2021-06-16,0
連江縣,2021-06-16,0
新北市,2021-06-17,87
台北市,2021-06-17,34
苗栗縣,2021-06-17,31
新竹縣,2021-06-17,10
桃園市,2021-06-17,7
花蓮縣,2021-06-17,2
基隆市,2021-06-17,2
台中市,2021-06-17,2
宜蘭縣,2021-06-17,0
彰化縣,2021-06-17,0
高雄市,2021-06-17,0
新竹市,2021-06-17,0
雲林縣,2021-06-17,0
台南市,2021-06-17,0
屏東縣,2021-06-17,0
嘉義市,2021-06-17,0
嘉義縣,2021-06-17,0
台東縣,2021-06-17,0
南投縣,2021-06-17,0
澎湖縣,2021-06-17,0
金門縣,2021-06-17,0
連江縣,2021-06-17,0
新北市,2021-06-18,76
台北市,2021-06-18,71
苗栗縣,2021-06-18,26
桃園市,2021-06-18,6
基隆市,2021-06-18,4
台中市,2021-06-18,2
新竹縣,2021-06-18,1
花蓮縣,2021-06-18,1
宜蘭縣,2021-06-18,0
彰化縣,2021-06-18,0
高雄市,2021-06-18,0
新竹市,2021-06-18,0
雲林縣,2021-06-18,0
台南市,2021-06-18,0
屏東縣,2021-06-18,0
嘉義市,2021-06-18,0
嘉義縣,2021-06-18,0
台東縣,2021-06-18,0
南投縣,2021-06-18,0
澎湖縣,2021-06-18,0
金門縣,2021-06-18,0
連江縣,2021-06-18,0
新北市,2021-06-19,81
台北市,2021-06-19,30
桃園市,2021-06-19,8
新竹縣,2021-06-19,3
新竹市,2021-06-19,2
基隆市,2021-06-19,2
台中市,2021-06-19,1
宜蘭縣,2021-06-19,0
彰化縣,2021-06-19,0
苗栗縣,2021-06-19,0
高雄市,2021-06-19,0
雲林縣,2021-06-19,0
台南市,2021-06-19,0
屏東縣,2021-06-19,0
嘉義市,2021-06-19,0
嘉義縣,2021-06-19,0
花蓮縣,2021-06-19,0
台東縣,2021-06-19,0
南投縣,2021-06-19,0
澎湖縣,2021-06-19,0
金門縣,2021-06-19,0
連江縣,2021-06-19,0
新北市,2021-06-20,44
台北市,2021-06-20,31
桃園市,2021-06-20,16
台中市,2021-06-20,6
新竹縣,2021-06-20,4
苗栗縣,2021-06-20,3
彰化縣,2021-06-20,1
宜蘭縣,2021-06-20,1
基隆市,2021-06-20,1
高雄市,2021-06-20,0
新竹市,2021-06-20,0
雲林縣,2021-06-20,0
台南市,2021-06-20,0
屏東縣,2021-06-20,0
嘉義市,2021-06-20,0
嘉義縣,2021-06-20,0
花蓮縣,2021-06-20,0
台東縣,2021-06-20,0
南投縣,2021-06-20,0
澎湖縣,2021-06-20,0
金門縣,2021-06-20,0
連江縣,2021-06-20,0
新北市,2021-06-21,38
台北市,2021-06-21,22
桃園市,2021-06-21,5
苗栗縣,2021-06-21,3
基隆市,2021-06-21,2
台中市,2021-06-21,2
高雄市,2021-06-21,1
彰化縣,2021-06-21,1
雲林縣,2021-06-21,1
宜蘭縣,2021-06-21,0
新竹縣,2021-06-21,0
新竹市,2021-06-21,0
台南市,2021-06-21,0
屏東縣,2021-06-21,0
嘉義市,2021-06-21,0
嘉義縣,2021-06-21,0
花蓮縣,2021-06-21,0
台東縣,2021-06-21,0
南投縣,2021-06-21,0
澎湖縣,2021-06-21,0
金門縣,2021-06-21,0
連江縣,2021-06-21,0
新北市,2021-06-22,43
台北市,2021-06-22,25
南投縣,2021-06-22,3
基隆市,2021-06-22,2
苗栗縣,2021-06-22,1
彰化縣,2021-06-22,1
桃園市,2021-06-22,1
台中市,2021-06-22,1
新竹縣,2021-06-22,1
宜蘭縣,2021-06-22,0
高雄市,2021-06-22,0
新竹市,2021-06-22,0
雲林縣,2021-06-22,0
台南市,2021-06-22,0
屏東縣,2021-06-22,0
嘉義市,2021-06-22,0
嘉義縣,2021-06-22,0
花蓮縣,2021-06-22,0
台東縣,2021-06-22,0
澎湖縣,2021-06-22,0
金門縣,2021-06-22,0
連江縣,2021-06-22,0
新北市,2021-06-23,45
台北市,2021-06-23,22
新竹縣,2021-06-23,9
高雄市,2021-06-23,9
桃園市,2021-06-23,7
苗栗縣,2021-06-23,4
基隆市,2021-06-23,3
宜蘭縣,2021-06-23,2
彰化縣,2021-06-23,1
屏東縣,2021-06-23,1
南投縣,2021-06-23,1
台中市,2021-06-23,0
新竹市,2021-06-23,0
雲林縣,2021-06-23,0
台南市,2021-06-23,0
嘉義市,2021-06-23,0
嘉義縣,2021-06-23,0
花蓮縣,2021-06-23,0
台東縣,2021-06-23,0
澎湖縣,2021-06-23,0
金門縣,2021-06-23,0
連江縣,2021-06-23,0
新北市,2021-06-24,54
台北市,2021-06-24,35
基隆市,2021-06-24,9
桃園市,2021-06-24,7
高雄市,2021-06-24,6
屏東縣,2021-06-24,6
新竹縣,2021-06-24,5
苗栗縣,2021-06-24,5
南投縣,2021-06-24,2
宜蘭縣,2021-06-24,0
彰化縣,2021-06-24,0
台中市,2021-06-24,0
新竹市,2021-06-24,0
雲林縣,2021-06-24,0
台南市,2021-06-24,0
嘉義市,2021-06-24,0
嘉義縣,2021-06-24,0
花蓮縣,2021-06-24,0
台東縣,2021-06-24,0
澎湖縣,2021-06-24,0
金門縣,2021-06-24,0
連江縣,2021-06-24,0
新北市,2021-06-25,32
台北市,2021-06-25,20
桃園市,2021-06-25,10
新竹縣,2021-06-25,4
苗栗縣,2021-06-25,3
彰化縣,2021-06-25,2
高雄市,2021-06-25,2
宜蘭縣,2021-06-25,1
基隆市,2021-06-25,1
台中市,2021-06-25,1
新竹市,2021-06-25,0
雲林縣,2021-06-25,0
台南市,2021-06-25,0
屏東縣,2021-06-25,0
嘉義市,2021-06-25,0
嘉義縣,2021-06-25,0
花蓮縣,2021-06-25,0
台東縣,2021-06-25,0
南投縣,2021-06-25,0
澎湖縣,2021-06-25,0
金門縣,2021-06-25,0
連江縣,2021-06-25,0
新北市,2021-06-26,36
台北市,2021-06-26,30
桃園市,2021-06-26,3
基隆市,2021-06-26,3
屏東縣,2021-06-26,3
