date,county,total_vacs
2021-06-04,台北市,117345
2021-06-04,新北市,113916
2021-06-04,桃園市,66855
2021-06-04,台中市,84593
2021-06-04,台南市,40617
2021-06-04,高雄市,85760
2021-06-04,新竹縣,13791
2021-06-04,彰化縣,28060
2021-06-04,雲林縣,13623
2021-06-04,屏東縣,18360
2021-06-04,基隆市,9298
2021-06-04,宜蘭縣,11900
2021-06-04,新竹市,13313
2021-06-04,苗栗縣,9316
2021-06-04,嘉義市,11396
2021-06-04,嘉義縣,10244
2021-06-04,花蓮縣,11451
2021-06-04,台東縣,5404
2021-06-04,南投縣,10597
2021-06-04,澎湖縣,2761
2021-06-04,金門縣,2111
2021-06-04,連江縣,1271
2021-06-06,台北市,130077
2021-06-06,新北市,115840
2021-06-06,桃園市,67254
2021-06-06,台中市,92635
2021-06-06,台南市,43340
2021-06-06,高雄市,86073
2021-06-06,新竹縣,13803
2021-06-06,彰化縣,28167
2021-06-06,雲林縣,13967
2021-06-06,屏東縣,18376
2021-06-06,基隆市,9641
2021-06-06,宜蘭縣,12012
2021-06-06,新竹市,13313
2021-06-06,苗栗縣,9327
2021-06-06,嘉義市,12403
2021-06-06,嘉義縣,10476
2021-06-06,花蓮縣,11954
2021-06-06,台東縣,5532
2021-06-06,南投縣,10609
2021-06-06,澎湖縣,2762
2021-06-06,金門縣,2112
2021-06-06,連江縣,1334
2021-06-07,台北市,137199
2021-06-07,新北市,116509
2021-06-07,桃園市,71152
2021-06-07,台中市,93829
2021-06-07,台南市,44683
2021-06-07,高雄市,87002
2021-06-07,新竹縣,13803
2021-06-07,彰化縣,28793
2021-06-07,雲林縣,13967
2021-06-07,屏東縣,18496
2021-06-07,基隆市,9940
2021-06-07,宜蘭縣,12388
2021-06-07,新竹市,13992
2021-06-07,苗栗縣,9430
2021-06-07,嘉義市,12803
2021-06-07,嘉義縣,10678
2021-06-07,花蓮縣,12820
2021-06-07,台東縣,5532
2021-06-07,南投縣,10732
2021-06-07,澎湖縣,2982
2021-06-07,金門縣,2168
2021-06-07,連江縣,1433
2021-06-08,台北市,144190
2021-06-08,新北市,116615
2021-06-08,桃園市,75234
2021-06-08,台中市,94726
2021-06-08,台南市,45552
2021-06-08,高雄市,86980
2021-06-08,新竹縣,14051
2021-06-08,彰化縣,29493
2021-06-08,雲林縣,13967
2021-06-08,屏東縣,18632
2021-06-08,基隆市,10197
2021-06-08,宜蘭縣,12656
2021-06-08,新竹市,14025
2021-06-08,苗栗縣,9710
2021-06-08,嘉義市,13133
2021-06-08,嘉義縣,10849
2021-06-08,花蓮縣,13578
2021-06-08,台東縣,5540
2021-06-08,南投縣,10855
2021-06-08,澎湖縣,3227
2021-06-08,金門縣,2202
2021-06-08,連江縣,1586
2021-06-09,台北市,145840
2021-06-09,新北市,117248
2021-06-09,桃園市,79813
2021-06-09,台中市,95884
2021-06-09,台南市,46159
2021-06-09,高雄市,87132
2021-06-09,新竹縣,14249
2021-06-09,彰化縣,30585
2021-06-09,雲林縣,14242
2021-06-09,屏東縣,18672
2021-06-09,基隆市,10585
2021-06-09,宜蘭縣,12668
2021-06-09,新竹市,14202
2021-06-09,苗栗縣,9870
2021-06-09,嘉義市,13510
2021-06-09,嘉義縣,10970
2021-06-09,花蓮縣,13858
2021-06-09,台東縣,5540
2021-06-09,南投縣,11134
2021-06-09,澎湖縣,3371
2021-06-09,金門縣,2320
2021-06-09,連江縣,1894
2021-06-28,台北市,305324
2021-06-28,新北市,277789
2021-06-28,桃園市,197922
2021-06-28,台中市,228749
2021-06-28,台南市,145457
2021-06-28,高雄市,233205
2021-06-28,新竹縣,36907
2021-06-28,彰化縣,82441
2021-06-28,雲林縣,54337
2021-06-28,屏東縣,71653
2021-06-28,基隆市,33263
2021-06-28,宜蘭縣,38280
2021-06-28,新竹市,34258
2021-06-28,苗栗縣,33691
2021-06-28,嘉義市,32219
2021-06-28,嘉義縣,38295
2021-06-28,花蓮縣,33534
2021-06-28,台東縣,20756
2021-06-28,南投縣,36355
2021-06-28,澎湖縣,14486
2021-06-28,金門縣,10390
2021-06-28,連江縣,5281
2021-07-05,台北市,403292
2021-07-05,新北市,387761
2021-07-05,桃園市,265986
2021-07-05,台中市,281080
2021-07-05,台南市,182373
2021-07-05,高雄市,333474
2021-07-05,新竹縣,44395
2021-07-05,彰化縣,119803
2021-07-05,雲林縣,71148
2021-07-05,屏東縣,92905
2021-07-05,基隆市,47888
2021-07-05,宜蘭縣,48832
2021-07-05,新竹市,44936
2021-07-05,苗栗縣,49466
2021-07-05,嘉義市,40907
2021-07-05,嘉義縣,51111
2021-07-05,花蓮縣,41029
2021-07-05,台東縣,24773
2021-07-05,南投縣,49413
2021-07-05,澎湖縣,24457
2021-07-05,金門縣,17383
2021-07-05,連江縣,6377
2021-07-11,台北市,540587
2021-07-11,新北市,521363
2021-07-11,桃園市,376625
2021-07-11,台中市,393428
2021-07-11,台南市,280509
2021-07-11,高雄市,414578
2021-07-11,新竹縣,56013
2021-07-11,彰化縣,164699
2021-07-11,雲林縣,95951
2021-07-11,屏東縣,146147
2021-07-11,基隆市,60103
2021-07-11,宜蘭縣,65528
2021-07-11,新竹市,61848
2021-07-11,苗栗縣,66663
2021-07-11,嘉義市,51139
2021-07-11,嘉義縣,65209
2021-07-11,花蓮縣,53145
2021-07-11,台東縣,35855
2021-07-11,南投縣,57116
2021-07-11,澎湖縣,29648
2021-07-11,金門縣,21988
2021-07-11,連江縣,7698
2021-07-13,台北市,629833
2021-07-13,新北市,638011
2021-07-13,桃園市,412569
2021-07-13,台中市,431327
2021-07-13,台南市,309476
2021-07-13,高雄市,485385
2021-07-13,新竹縣,65960
2021-07-13,彰化縣,198993
2021-07-13,雲林縣,106269
2021-07-13,屏東縣,161305
2021-07-13,基隆市,68403
2021-07-13,宜蘭縣,74171
2021-07-13,新竹市,70670
2021-07-13,苗栗縣,77375
2021-07-13,嘉義市,54656
2021-07-13,嘉義縣,75799
2021-07-13,花蓮縣,61374
2021-07-13,台東縣,39585
2021-07-13,南投縣,59424
2021-07-13,澎湖縣,31130
2021-07-13,金門縣,23888
2021-07-13,連江縣,8458
